Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,112155598.949571,123134584.467673,124482748.937917,129379097.888958,142025069.461676,150574816.300764,157930041.875883,163820538.867947,191767436.956884,188039191.323608,189106554.521277,201450768.367553,230317908.038643,271183061.359635,281398668.160613,378660016.265936,451152449.984411,507298120.68315,610578523.761178,700764892.704831,797048028.773247,694803502.722356,748312283.726758,658679394.907969,637820620.670195,864849765.059664,1122265026.38274,1200991825.95398,1264899368.20165,1233930277.04922,1440711395.67069,1377375030.52921,1411917558.45855,1278781166.72188,851174350.649409,1115389731.79119,1007791186.20106,937741468.029676,967338348.658314,999477510.686632,914500299.097034,931833302.752857,991387870.12463,1139754799.16304,1270080250.65268,1337362392.15225,1460561215.4447,1697565948.65323,1985240986.18508,2059094048.26019,2142591539.43547,2437982706.57518,2510126509.99477,1691544110.69163,1894813389.88179,1695825714.24273,1825018144.46194,2072349974.15257,2220979144.52018,2220307318.74886,2303078337.57431
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,74.6873469698836,80.6880637274186,80.2127116671332,81.9179092292569,88.2901157774413,91.8303746529954,94.398235690021,95.8964839249802,109.945910359308,105.707101319157,104.412016474153,109.453359228713,123.310651240904,143.115846298987,146.227767277778,193.354982118232,225.91317449196,248.686033177452,292.470008919633,327.34122487471,362.400148758455,306.832239268922,320.429832125767,273.501381836801,257.353636634786,340.20138899431,432.011758716722,453.746218486516,469.529167023013,449.398895759867,513.304187659237,478.503276361394,477.122324295377,419.802703848229,271.505497625502,346.108196202762,304.631075543624,276.421596079059,278.3319014924,280.908424234562,251.207291436082,250.357145899657,260.745458695544,293.661549027692,320.736812338314,331.163088206718,354.670863314704,404.374542914498,464.561204695005,474.705627543055,488.421773091439,551.749691833885,565.801164498684,380.297892777817,424.449105977749,377.422918968081,402.191634907492,450.900697005339,475.953849512777,467.908021751942,476.851112719857
Central African Republic,CAF,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,3.27621656641493,-5.31769329595718,-2.43382074711931,0.224610606241455,-0.966336542677055,-1.3592459291997,2.51439881779967,-0.682574475586975,5.00421857336895,0.50862062499364,-0.483030605365812,-1.4608183432249,0.433667892026563,4.70691318697743,-1.33721028121946,3.39199211165639,1.62331148735484,-1.10557347817648,-4.88512796649343,-7.02289690570552,-4.37416318634585,4.44566583307507,-10.9106938885951,6.38684871671373,1.31948304518556,1.36129770049081,-6.70137094370152,-0.0695155032834975,0.0548542162896553,-4.27436918759379,-3.0319691958851,-8.97686229341038,-2.52746751768815,1.92632802162673,4.28458374585874,-6.4832902107666,2.6864897611421,2.19814311106926,1.19680608235933,-4.696612815321,2.17463592613724,1.43328327404468,-7.32444732125722,3.88836103046467,-1.05321753320324,2.74350418110028,2.61583221360165,0.254331008941946,6.97871251463916,3.45870921749356,3.44300399979649,4.63292210115557,-36.5569195462263,-0.282695892855827,3.66370430293424,3.72277787403763,3.20045251851401,2.22467545139492,1.28946136700006,-1.75132780814963
Chad,TCD,"Compulsory education, duration (years)",SE.COM.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,6,6,6,6,6,6,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,313582729.426485,333975338.83416,357635713.876922,371767002.655998,392247517.602016,416926302.963509,432794922.459835,449826322.995072,453980096.654503,471635620.924431,469266736.605177,501866730.722561,585427545.723712,647199482.828061,652532796.066703,864602103.303151,866044961.048205,935360466.351397,1113920122.61212,1004316495.11165,1033002401.82546,876937559.725038,834369860.427292,832415805.956327,919103735.322921,1033069709.99507,1067828247.23577,1163426850.65015,1482597298.88718,1433686309.83642,1738605558.05432,1877138041.64308,1881847676.80752,1463251055.40068,1179837954.72193,1445919969.89272,1607345450.04578,1544689502.82472,1744794457.276,1534673583.2487,1388506726.62093,1710843360.64955,1997005786.54118,2742815194.54993,4422855929.21428,6649307057.03314,7428701809.40597,8650138068.63161,10393834720.852,9290728773.35723,10668102734.8132,12172309522.6171,12367363677.6199,12953535495.8781,13940768065.6063,10950392219.9104,10097778353.7651,10000395242.1457,11239167048.4916,11314951342.7807,10093118570.2918
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,104.471718929774,109.129250541736,114.581806596806,116.776543941781,120.820654687922,125.975478772857,128.342693976729,130.960782770981,129.731950795287,132.169979986681,128.791773595068,134.686332529714,153.443964456279,165.613494037592,163.136543315814,211.468197007644,207.528822135755,219.813694814865,256.823871349247,227.080003317318,228.822484409529,190.107208963518,176.84232644808,172.260217658847,185.394337119184,202.745556775734,203.501250883222,214.938182340033,265.240971286652,248.303375662058,291.553357322654,304.874472521182,296.039696568968,222.923183217462,173.990272419466,206.26065256048,221.673040069621,205.862695808741,224.553739501648,190.559071876625,166.175708881786,197.146082103195,221.416536911391,292.600880182047,454.336365239401,658.566973042801,710.396398684645,799.603741996266,929.382751892261,803.686388398795,892.568869694168,984.736130484829,967.352948812122,979.811742616759,1020.28797948927,776.019752284262,693.449767448537,665.948884859102,726.151007088549,709.54004317463,614.465189935689
Chad,TCD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,-0.549159007773866,3.30569197351794,-3.52661832419636,-4.4012777528265,-1.31057753304364,-3.62988185690666,-1.07032115779856,-2.29348800941479,4.81365343866284,-0.242780810287513,-4.41404594122,-1.21164000217321,-10.552748026737,2.54697197558291,6.64666220057954,0.893995778349364,0.26186107189838,-2.35248332866445,-22.9589099127888,-7.95575905071868,-1.11317590067672,2.99550186558264,12.9459149688797,-0.529206400260094,18.4980775083612,-6.85799534416293,-5.37444815343781,11.8300612703049,1.53677522287845,-7.22059396928637,5.11827540272103,4.60927491083436,-18.3703752325919,6.61026299584535,-2.07200558489869,-1.1802127446216,2.09776948995804,3.28250504491649,-4.1787482038272,-4.46365290954039,7.50996444669651,4.38723177336885,10.3808667606478,28.6759999541503,13.1272685475725,-2.82142049223802,-0.173823663533213,-0.315792039007306,0.822972034386481,9.82601852110325,-3.22747142214331,5.27356491236728,2.21661280109389,3.43306452539073,-0.490723968196917,-9.15694224466328,-5.92875313174368,-0.674920920026565,0.209664512309331,-3.78024514945832
Channel Islands,CHI,"Compulsory education, duration (years)",SE.COM.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5945677376.61477,6262740656.85164,6439703434.71024,6232906290.4851,6663669064.7482,7332244897.95918,8553643354.08275,8827272727.27273,9676172953.08188,11514605842.3369,..,..,..,..,..,..,..,..,..,..,..,..,..
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40584.8285093159,42444.0076233736,43382.8268494819,41804.3709161492,44545.9223131619,48858.8318648576,56751.126936232,58198.9841849805,63243.3738330439,74458.7946660519,..,..,..,..,..,..,..,..,..,..,..,..,..
Channel Islands,CHI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.02971561637575,5.19498533836915,-1.94760764142822,-1.95705027096598,-3.51112053786863,-0.209356940179902,0.741424684557984,3.9739990049156,4.77185367602469,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"Compulsory education, duration (years)",SE.COM.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,4110000000,4609727272.72727,5416272727.27273,5668187500,5982347826.08696,6026593750,7072641025.64103,7013196078.43137,7167086956.52174,8377093023.25581,9126309734.51328,10884114754.0984,11853817307.6923,16836261173.1844,16210404183.5358,7622217352.34216,10341925249.0421,13962893421.5413,15989933708.1491,21803696985.2349,29036709871.7949,34509878043.5897,25325893205.657,20355959237.2128,19622527479.6913,17702885393.5099,18891048818.7425,22255407684.6999,26040229793.0697,29885685142.9107,33113887817.9731,37834793730.3133,45964327558.8836,49297773130.1185,57008425295.8256,73447063319.3034,78039572221.6024,84952360922.4679,81577430181.4074,75173794497.0321,77860932151.8471,70979923960.3742,69736811435.1032,75643459839.6008,99210392857.6116,122964812046.073,154788024805.808,173605968179.255,179638496278.574,172389498444.62,218537551220.071,252251992029.442,267122320056.702,278384332694.359,260541637327.864,243919079437.373,250440149690.889,277034675515.671,297571693064.212,279385487344.526,252940023046.011
